[30,30]
(11,29)
(23,14) | (21,16)
(19,3,1,1)
(10,17,1,1)
(20,18,1,1)
(7,3,1,1)
(5,17,1,1)
(10,28,1,1)
(19,1,1,1)
(22,21,1,1)
(29,10,1,1)
(29,27,1,1)
(27,26,1,1)
(4,21,1,1)
(28,6,1,1)
(22,12,1,1)
(22,22,1,1)
(29,17,1,1)
(7,17,1,1)
(29,5,1,1)
(29,17,1,1)
(16,27,1,1)
(20,7,1,1)
(11,27,1,1)
(30,20,1,1)
(20,10,1,1)
(2,8,1,1)
(4,14,1,1)
(0,12,1,1)
(16,29,1,1)
(25,0,1,1)
(17,11,1,1)
(17,0,1,1)
(2,23,1,1)
(30,26,1,1)
(3,7,1,1)
(29,16,1,1)
(14,30,1,1)
(11,26,1,1)
(26,7,1,1)
(1,6,1,1)
(4,24,1,1)
(17,8,1,1)
(27,7,1,1)
(20,1,1,1)
(2,6,1,1)
(25,11,1,1)
(2,10,1,1)
(27,18,1,1)
(13,5,1,1)
(9,19,1,1)
(20,1,1,1)
(1,4,1,1)
(2,30,1,1)
(2,25,1,1)
(20,6,1,1)
(23,30,1,1)
(5,14,1,1)
(18,27,1,1)
(29,22,1,1)
(14,26,1,1)
(8,15,1,1)
(22,28,1,1)
(1,0,1,1)
(22,18,1,1)
(8,29,1,1)
(13,23,1,1)
(7,24,1,1)
(20,1,1,1)
(21,21,1,1)
(4,15,1,1)
(17,8,1,1)
(21,20,1,1)
(19,30,1,1)
(7,15,1,1)
(4,12,1,1)
(27,11,1,1)
(24,28,1,1)
(10,4,1,1)
(3,7,1,1)
(24,5,1,1)
(21,22,1,1)
(25,23,1,1)
(0,8,1,1)
(27,13,1,1)
(19,29,1,1)
(12,13,1,1)
(15,8,1,1)
(27,19,1,1)
(23,30,1,1)
(21,7,1,1)
(20,1,1,1)
(12,28,1,1)
(20,13,1,1)
(5,17,1,1)
(7,27,1,1)
(14,11,1,1)
(8,23,1,1)
(5,2,1,1)
(11,16,1,1)
(16,12,1,1)
(10,25,1,1)
(7,23,1,1)
(10,12,1,1)
(14,16,1,1)
(5,1,1,1)
(9,13,1,1)
(15,18,1,1)
(18,20,1,1)
(7,16,1,1)
(29,22,1,1)
(23,24,1,1)
(19,20,1,1)
(21,16,1,1)
(29,8,1,1)
(13,16,1,1)
(12,26,1,1)
(8,9,1,1)
(17,18,1,1)
(7,28,1,1)
(22,5,1,1)
(16,29,1,1)
(12,13,1,1)
(21,23,1,1)
(24,30,1,1)
(2,15,1,1)
(1,0,1,1)
(8,27,1,1)
(17,5,1,1)
(29,22,1,1)
(4,29,1,1)
(4,26,1,1)
(3,6,1,1)
(10,12,1,1)
