[30,30]
(13,25)
(12,11) | (1,23)
(6,21,1,1)
(5,13,1,1)
(1,29,1,1)
(28,27,1,1)
(0,23,1,1)
(17,28,1,1)
(30,14,1,1)
(3,19,1,1)
(12,22,1,1)
(26,15,1,1)
(0,12,1,1)
(3,14,1,1)
(25,22,1,1)
(0,1,1,1)
(19,15,1,1)
(5,30,1,1)
(28,29,1,1)
(19,19,1,1)
(4,30,1,1)
(26,28,1,1)
(29,0,1,1)
(6,17,1,1)
(21,8,1,1)
(4,11,1,1)
(16,16,1,1)
(14,12,1,1)
(11,26,1,1)
(14,27,1,1)
(26,11,1,1)
(13,9,1,1)
(15,0,1,1)
(6,10,1,1)
(10,27,1,1)
(3,11,1,1)
(14,1,1,1)
(8,9,1,1)
(11,25,1,1)
(25,26,1,1)
(15,22,1,1)
(27,28,1,1)
(29,21,1,1)
(28,24,1,1)
(6,17,1,1)
(10,9,1,1)
(8,18,1,1)
(4,3,1,1)
(30,8,1,1)
(28,25,1,1)
(22,5,1,1)
(15,18,1,1)
(16,15,1,1)
(8,5,1,1)
(17,0,1,1)
(25,4,1,1)
(7,27,1,1)
(16,6,1,1)
(18,20,1,1)
(17,7,1,1)
(3,4,1,1)
(23,14,1,1)
(10,29,1,1)
(8,5,1,1)
(6,19,1,1)
(3,2,1,1)
(17,12,1,1)
(10,5,1,1)
(21,2,1,1)
(6,2,1,1)
(10,27,1,1)
(6,22,1,1)
(24,16,1,1)
(13,13,1,1)
(3,15,1,1)
(29,28,1,1)
(15,0,1,1)
(26,16,1,1)
(20,13,1,1)
(14,16,1,1)
(7,13,1,1)
(29,4,1,1)
(6,19,1,1)
(3,29,1,1)
(27,10,1,1)
(11,30,1,1)
(13,11,1,1)
(0,19,1,1)
(14,13,1,1)
(20,30,1,1)
(29,1,1,1)
(25,1,1,1)
(10,18,1,1)
(27,24,1,1)
(10,19,1,1)
(0,26,1,1)
(23,20,1,1)
(16,6,1,1)
(20,7,1,1)
(0,2,1,1)
(9,7,1,1)
(29,22,1,1)
(12,2,1,1)
(3,11,1,1)
(8,12,1,1)
(19,4,1,1)
(8,30,1,1)
(14,14,1,1)
(11,4,1,1)
(2,27,1,1)
(9,4,1,1)
(19,3,1,1)
(6,17,1,1)
(16,22,1,1)
(11,10,1,1)
(13,15,1,1)
(18,25,1,1)
(13,17,1,1)
(16,8,1,1)
(30,27,1,1)
(11,11,1,1)
(30,12,1,1)
(18,0,1,1)
(16,16,1,1)
(29,28,1,1)
(17,7,1,1)
(12,16,1,1)
(27,5,1,1)
(5,0,1,1)
(12,10,1,1)
(26,29,1,1)
(1,20,1,1)
(0,15,1,1)
(24,24,1,1)
(5,0,1,1)
(7,11,1,1)
(0,29,1,1)
(7,17,1,1)
(27,3,1,1)
(26,21,1,1)
(28,4,1,1)
(23,28,1,1)
(29,5,1,1)
(9,1,1,1)
(30,24,1,1)
(14,15,1,1)
(19,3,1,1)
(2,16,1,1)
(10,19,1,1)
(24,4,1,1)
(3,27,1,1)
(27,27,1,1)
(28,21,1,1)
(25,20,1,1)
(3,25,1,1)
(15,13,1,1)
(30,3,1,1)
(22,23,1,1)
(22,4,1,1)
(9,8,1,1)
(1,14,1,1)
(21,11,1,1)
(22,10,1,1)
(5,5,1,1)
(7,27,1,1)
(26,17,1,1)
(18,30,1,1)
(27,13,1,1)
(21,5,1,1)
(15,9,1,1)
(23,27,1,1)
(7,29,1,1)
(9,8,1,1)
(22,16,1,1)
(3,4,1,1)
(29,1,1,1)
(2,27,1,1)
(28,12,1,1)
(20,2,1,1)
(30,12,1,1)
(5,16,1,1)
