[30,30]
(23,17)
(13,11) | (1,14)
(17,9,1,1)
(7,3,1,1)
(21,24,1,1)
(11,16,1,1)
(26,10,1,1)
(8,13,1,1)
(0,7,1,1)
(20,27,1,1)
(10,24,1,1)
(10,0,1,1)
(8,27,1,1)
(30,11,1,1)
(12,3,1,1)
(29,5,1,1)
(6,29,1,1)
(8,8,1,1)
(16,13,1,1)
(8,3,1,1)
(14,29,1,1)
(25,5,1,1)
(29,7,1,1)
(26,2,1,1)
(15,9,1,1)
(26,26,1,1)
(15,0,1,1)
(16,12,1,1)
(12,18,1,1)
(25,20,1,1)
(20,3,1,1)
(28,25,1,1)
(26,2,1,1)
(28,4,1,1)
(12,21,1,1)
(1,16,1,1)
(19,14,1,1)
(30,9,1,1)
(10,11,1,1)
(6,4,1,1)
(2,5,1,1)
(8,23,1,1)
(12,5,1,1)
(7,27,1,1)
(30,7,1,1)
(3,24,1,1)
(25,18,1,1)
(4,18,1,1)
(24,28,1,1)
(7,27,1,1)
(24,22,1,1)
(14,18,1,1)
(1,1,1,1)
(3,2,1,1)
(15,3,1,1)
(17,19,1,1)
(6,19,1,1)
(18,25,1,1)
(28,20,1,1)
(27,25,1,1)
(18,3,1,1)
(7,1,1,1)
(22,7,1,1)
(15,1,1,1)
(28,4,1,1)
(3,14,1,1)
(21,14,1,1)
(24,14,1,1)
(22,17,1,1)
(17,24,1,1)
(16,5,1,1)
(11,11,1,1)
(11,19,1,1)
(3,16,1,1)
(28,6,1,1)
(21,18,1,1)
(6,28,1,1)
(7,23,1,1)
(0,9,1,1)
(26,21,1,1)
(15,3,1,1)
(9,0,1,1)
(25,5,1,1)
(30,6,1,1)
(19,16,1,1)
(19,9,1,1)
(5,17,1,1)
(12,25,1,1)
(21,30,1,1)
(28,5,1,1)
(4,24,1,1)
(16,30,1,1)
(16,4,1,1)
(10,5,1,1)
(25,2,1,1)
(17,11,1,1)
(5,1,1,1)
(22,0,1,1)
(16,0,1,1)
(8,22,1,1)
(2,0,1,1)
(27,1,1,1)
(11,1,1,1)
(20,30,1,1)
(24,28,1,1)
(30,14,1,1)
(23,23,1,1)
(1,12,1,1)
(20,1,1,1)
(22,1,1,1)
(17,25,1,1)
(1,23,1,1)
(18,13,1,1)
(8,0,1,1)
(8,17,1,1)
(15,10,1,1)
(28,10,1,1)
(7,3,1,1)
(14,0,1,1)
(0,7,1,1)
(13,12,1,1)
(3,30,1,1)
(30,24,1,1)
(8,12,1,1)
(12,3,1,1)
(22,7,1,1)
(5,10,1,1)
(20,2,1,1)
(21,29,1,1)
(6,21,1,1)
(2,1,1,1)
(17,3,1,1)
(11,26,1,1)
(18,6,1,1)
(1,18,1,1)
(8,14,1,1)
(11,7,1,1)
(29,20,1,1)
(28,26,1,1)
(6,17,1,1)
(27,22,1,1)
(22,23,1,1)
(14,14,1,1)
(24,25,1,1)
(21,2,1,1)
(2,8,1,1)
(18,26,1,1)
(3,5,1,1)
(2,9,1,1)
(0,11,1,1)
(5,14,1,1)
(15,27,1,1)
(11,26,1,1)
(30,29,1,1)
(27,24,1,1)
(5,6,1,1)
(8,30,1,1)
(14,0,1,1)
(21,20,1,1)
(15,7,1,1)
(10,29,1,1)
(15,23,1,1)
(0,8,1,1)
(4,26,1,1)
(13,8,1,1)
(0,7,1,1)
(4,21,1,1)
(30,3,1,1)
(19,29,1,1)
(13,22,1,1)
(4,7,1,1)
(17,17,1,1)
(30,1,1,1)
(13,23,1,1)
(16,3,1,1)
(9,26,1,1)
(11,12,1,1)
(7,13,1,1)
(16,29,1,1)
(7,28,1,1)
(23,24,1,1)
(27,21,1,1)
(20,10,1,1)
(1,0,1,1)
(24,24,1,1)
(14,14,1,1)
(26,26,1,1)
(16,21,1,1)
(18,29,1,1)
(9,26,1,1)
(17,24,1,1)
(2,24,1,1)
(27,26,1,1)
(21,20,1,1)
(9,13,1,1)
(22,23,1,1)
(21,21,1,1)
(25,11,1,1)
(15,1,1,1)
(15,26,1,1)
(18,14,1,1)
(20,6,1,1)
(16,17,1,1)
(4,2,1,1)
(4,18,1,1)
(9,2,1,1)
(10,13,1,1)
(10,1,1,1)
(3,12,1,1)
(12,1,1,1)
(30,10,1,1)
(6,7,1,1)
(24,7,1,1)
(11,27,1,1)
(9,19,1,1)
(10,22,1,1)
(13,0,1,1)
(14,24,1,1)
(17,10,1,1)
(9,5,1,1)
(29,30,1,1)
(10,8,1,1)
(15,26,1,1)
(27,24,1,1)
(0,17,1,1)
(15,1,1,1)
(1,27,1,1)
(28,13,1,1)
(24,6,1,1)
(12,12,1,1)
(13,9,1,1)
(12,12,1,1)
(17,18,1,1)
(26,16,1,1)
(12,26,1,1)
(10,14,1,1)
(2,10,1,1)
(25,17,1,1)
(20,1,1,1)
(27,13,1,1)
(4,8,1,1)
(10,19,1,1)
(0,13,1,1)
(10,0,1,1)
(15,29,1,1)
(7,18,1,1)
(0,26,1,1)
(5,17,1,1)
(17,18,1,1)
(24,21,1,1)
(11,17,1,1)
(29,21,1,1)
(30,17,1,1)
(3,8,1,1)
(20,3,1,1)
(22,8,1,1)
(4,15,1,1)
(21,25,1,1)
(9,8,1,1)
(20,26,1,1)
(2,18,1,1)
(1,6,1,1)
(30,25,1,1)
(21,22,1,1)
(18,29,1,1)
(18,21,1,1)
(9,18,1,1)
(2,1,1,1)
(5,15,1,1)
(21,9,1,1)
(12,6,1,1)
(26,19,1,1)
(8,17,1,1)
(20,8,1,1)
(8,18,1,1)
(28,29,1,1)
(7,13,1,1)
(0,8,1,1)
(25,1,1,1)
(1,9,1,1)
(7,5,1,1)
(21,14,1,1)
(17,3,1,1)
(29,0,1,1)
(6,29,1,1)
(24,12,1,1)
(8,23,1,1)
(23,15,1,1)
(4,12,1,1)
(14,9,1,1)
(17,9,1,1)
(15,30,1,1)
(25,16,1,1)
(29,4,1,1)
(5,26,1,1)
(9,2,1,1)
(30,23,1,1)
(13,24,1,1)
(28,28,1,1)
(21,21,1,1)
(4,15,1,1)
(4,0,1,1)
