[30,30]
(4,3)
(20,8) | (22,26)
(27,8,1,1)
(23,27,1,1)
(10,12,1,1)
(30,10,1,1)
(7,30,1,1)
(0,12,1,1)
(16,13,1,1)
(19,1,1,1)
(0,2,1,1)
(12,9,1,1)
(30,19,1,1)
(16,18,1,1)
(27,9,1,1)
(12,9,1,1)
(2,13,1,1)
(17,3,1,1)
(17,2,1,1)
(29,23,1,1)
(0,9,1,1)
(26,22,1,1)
(21,19,1,1)
(25,25,1,1)
(3,9,1,1)
(18,4,1,1)
(7,13,1,1)
(30,24,1,1)
(27,16,1,1)
(16,23,1,1)
(1,22,1,1)
(30,10,1,1)
(4,22,1,1)
(25,29,1,1)
(7,25,1,1)
(15,10,1,1)
(17,28,1,1)
(30,2,1,1)
(17,0,1,1)
(18,11,1,1)
(23,12,1,1)
(2,14,1,1)
(20,25,1,1)
(17,19,1,1)
(19,8,1,1)
(4,28,1,1)
(17,16,1,1)
(26,6,1,1)
(21,27,1,1)
(19,1,1,1)
(8,22,1,1)
(11,18,1,1)
(16,22,1,1)
(26,0,1,1)
(11,1,1,1)
(19,3,1,1)
(5,19,1,1)
(13,18,1,1)
(6,3,1,1)
(18,17,1,1)
(28,13,1,1)
(17,21,1,1)
(1,5,1,1)
(22,6,1,1)
(22,22,1,1)
(14,18,1,1)
(12,4,1,1)
(23,14,1,1)
(19,9,1,1)
(7,20,1,1)
(30,18,1,1)
(3,14,1,1)
(13,3,1,1)
(27,0,1,1)
(9,29,1,1)
(5,18,1,1)
(14,4,1,1)
(28,6,1,1)
(20,5,1,1)
(27,2,1,1)
(4,11,1,1)
(22,20,1,1)
(22,27,1,1)
(29,25,1,1)
(29,20,1,1)
(26,19,1,1)
(13,24,1,1)
(14,19,1,1)
(1,25,1,1)
(23,29,1,1)
(17,3,1,1)
(12,4,1,1)
(19,4,1,1)
(10,16,1,1)
(25,25,1,1)
(11,19,1,1)
(8,21,1,1)
(14,10,1,1)
(24,24,1,1)
(1,6,1,1)
(12,23,1,1)
(24,28,1,1)
(13,9,1,1)
(1,5,1,1)
(15,8,1,1)
(15,19,1,1)
(7,4,1,1)
(22,1,1,1)
(18,11,1,1)
(26,13,1,1)
(0,19,1,1)
(6,24,1,1)
(9,9,1,1)
(13,24,1,1)
(15,5,1,1)
(5,11,1,1)
(29,9,1,1)
(28,24,1,1)
(16,10,1,1)
(11,13,1,1)
(7,23,1,1)
(4,10,1,1)
(12,21,1,1)
(1,15,1,1)
(30,7,1,1)
(0,14,1,1)
(22,6,1,1)
(13,21,1,1)
(24,25,1,1)
(4,13,1,1)
(5,22,1,1)
(5,1,1,1)
(24,11,1,1)
(8,22,1,1)
(29,27,1,1)
(28,18,1,1)
(22,29,1,1)
(13,6,1,1)
(22,4,1,1)
(5,26,1,1)
(9,0,1,1)
(7,7,1,1)
(29,25,1,1)
(2,14,1,1)
(15,1,1,1)
(2,19,1,1)
(16,8,1,1)
(19,6,1,1)
(13,7,1,1)
(18,23,1,1)
(28,17,1,1)
(15,9,1,1)
(20,10,1,1)
(8,8,1,1)
(2,22,1,1)
(10,25,1,1)
(14,1,1,1)
(9,13,1,1)
(3,1,1,1)
(29,9,1,1)
(15,0,1,1)
(27,12,1,1)
(21,27,1,1)
(13,3,1,1)
(21,0,1,1)
(16,16,1,1)
(13,16,1,1)
(23,2,1,1)
(22,1,1,1)
(21,24,1,1)
(1,12,1,1)
(11,3,1,1)
(6,30,1,1)
(23,12,1,1)
(4,13,1,1)
(10,27,1,1)
(5,26,1,1)
(24,26,1,1)
(28,17,1,1)
(30,12,1,1)
(13,10,1,1)
(11,16,1,1)
(11,28,1,1)
(7,12,1,1)
(29,16,1,1)
(7,28,1,1)
(6,30,1,1)
(26,21,1,1)
(23,19,1,1)
(30,14,1,1)
(29,27,1,1)
(24,22,1,1)
(2,9,1,1)
(22,11,1,1)
(1,28,1,1)
(6,11,1,1)
(19,23,1,1)
(3,20,1,1)
(27,11,1,1)
(10,24,1,1)
(29,19,1,1)
(24,29,1,1)
(11,8,1,1)
(14,19,1,1)
(26,30,1,1)
(29,12,1,1)
(19,20,1,1)
(20,27,1,1)
(20,1,1,1)
(18,3,1,1)
(21,27,1,1)
(7,24,1,1)
(3,23,1,1)
(6,7,1,1)
(15,29,1,1)
(14,10,1,1)
(1,20,1,1)
(20,29,1,1)
(15,27,1,1)
(5,8,1,1)
(7,16,1,1)
(18,7,1,1)
(2,3,1,1)
(2,2,1,1)
(13,25,1,1)
(18,25,1,1)
(1,17,1,1)
(7,21,1,1)
(27,11,1,1)
